logFC	AveExpr	t	P.Value	adj.P.Val	B
Mgat5	0.412306395220849	8.85058834160149	34.6961037821233	5.41474892051816e-261	1.3704798058957e-258	586.061160073765
AABR07032097.1	0.582225586717534	8.96702364703457	34.5509456989607	7.45193489891599e-259	1.86251797879781e-256	581.140966683112
Zfpm2	-0.716867028750805	8.72378192335345	-34.4115553463629	8.27779349578065e-257	2.04338865368067e-254	576.434861962348
Mkx	0.322498605216216	8.25692133929219	34.3559388913795	5.39380803179648e-256	1.31523404385086e-253	574.56226902603
Ptk2b	0.353677039033775	8.59248455386722	34.3047463073774	3.0201615644547e-255	7.27567837123757e-253	572.841162290712
Fkbp9	0.102665503288052	7.84274816572086	34.2918902228379	4.65318877779283e-255	1.10762511442819e-252	572.409306275514
Atrnl1	0.450785174850104	9.84456695743506	34.2560790842829	1.54977583235812e-254	3.64561973741185e-252	571.207240440805
Grm8	-0.819773338283641	9.42601424035805	-34.1692658344722	2.84983702636121e-253	6.62587108628981e-251	568.298118863611
Heg1	0.265100502993686	8.08735250727775	34.1432908251092	6.80088017321244e-253	1.56302987429176e-250	567.429112119582
Cntnap2	0.572974365197691	10.5435286005542	33.8960206153575	2.59947678066382e-249	5.90642479879239e-247	559.188001107875
Osbpl1a	0.376057019745142	9.18018476977764	33.8198732046869	3.25871367183578e-248	7.32112133352319e-246	556.661709727279
Foxp2	-0.683563295559417	8.50017472250033	-33.8104854332522	4.44919936525639e-248	9.88463792314462e-246	556.350604085848
Enox1	0.512573271948897	9.28565121192285	33.8099147069432	4.53406510158295e-248	9.96248700067595e-246	556.331726608121
Sorl1	-0.400698481275134	8.7371086525094	-33.7431013458434	4.14778418434622e-247	9.01466790934813e-245	554.120222905146
Map3k5	-0.368971536674909	8.38708669092713	-33.678222770111	3.54455957019891e-246	7.62080307592765e-244	551.97677952812
Rasgrf2	0.462802811007926	8.40835635633062	33.6581007536165	6.8897111643324e-246	1.46552951841305e-243	551.312779586112
Cd200r1	0.222100110314586	7.97759065092654	33.6463877190541	1.01421273561429e-245	2.13465091037977e-243	550.926469201844
Rps6ka5	0.306121104291718	8.35944378712831	33.6308998334181	1.69083430060099e-245	3.5216908167205e-243	550.41583374787
Anxa11	0.307599791029046	8.43209646295388	33.5309579861571	4.55102329433752e-244	9.38120729590503e-242	547.126181831324
Marchf1	0.6207669995276	9.72297608270554	33.5100504262543	9.0520449655477e-244	1.84689427638904e-241	546.43918513774
Hlf	0.356199234958604	8.62620474030186	33.4526463154596	5.9672230567563e-243	1.20519823252366e-240	544.555073392112
Sntb2	0.446049751346253	8.70157171743574	33.4488725866026	6.75410165582684e-243	1.35048262608258e-240	544.431321173758
Kcna1	0.339895505312622	8.45844417552667	33.2749783558677	2.00517833626342e-240	3.96965750827595e-238	538.743345427115
Neto2	-0.445747240441349	8.44557427676815	-33.2184430124005	1.26871737066067e-239	2.48705919866275e-237	536.900236019288
Grm1	0.485596453486256	8.62812380021041	33.1951674812516	2.7091931883776e-239	5.25925415549614e-237	536.14231248991
Kcnc2	-0.490870393087681	8.6144548358344	-33.1749450615412	5.23503083499648e-239	1.00648501486303e-236	535.484217368902
Sulf2	-0.309175661474183	8.18360312370888	-33.1373598438499	1.77898555217057e-238	3.38769677291911e-236	534.262127468033
Smarca2	0.435014069197567	8.80491019651963	33.1094296877146	4.41147685910555e-238	8.32146035828449e-236	533.354828347583
Tcf12	0.363859460894323	8.72701883976495	33.0452355599986	3.5471699760915e-237	6.62856669831303e-235	531.272298238969
Kazn	0.490781469933069	9.071284620966	33.0262521886397	6.56556335083568e-237	1.21554110370333e-234	530.657200837823
Dlgap3	0.357518071198335	8.93459626701787	32.9572899082874	6.12911773327425e-236	1.12432760620935e-233	528.425552236367
Chrna7	0.272485027750095	8.21028631219878	32.9354006487815	1.2442790570659e-235	2.26175997691206e-233	527.718144655288
Kirrel3	-0.805465309675581	9.18489379955132	-32.8983074060438	4.12668361984595e-235	7.43360711520898e-233	526.520385322603
Camkk2	0.343426838228517	8.61218923799646	32.7522700927729	4.57100672548994e-233	8.16047138180102e-231	521.817528066838
Eepd1	0.181766261108957	7.97844373356396	32.5668977790664	1.74788814076285e-230	3.09283392695161e-228	515.876929586739
Pitpnc1	-0.432644925887002	8.38284212246839	-32.5660561946243	1.79561021370824e-230	3.14940580904354e-228	515.850019552325
Pbx1	-0.465213054274983	9.95261506704982	-32.5469633778401	3.30666114100525e-230	5.74927734907827e-228	515.24002787543
Hs3st5	-0.47128747730509	8.47393281709226	-32.4901907709363	2.02786851562522e-229	3.4954509456833e-227	513.428189827252
Spag1	0.140716482625108	7.91283092699502	32.4482444298162	7.72914391893782e-229	1.32089087742873e-226	512.091503741534
Adcy8	-0.303189792923934	8.15279488876411	-32.4317423336761	1.30780712523018e-228	2.21606809059132e-226	511.566087406161
Pde4b	-0.622065343517717	9.95136512338984	-32.3600287608744	1.28192740711402e-227	2.15396121892814e-225	509.285762620061
Fam234b	0.207592983857033	8.10252422231929	32.3257762922012	3.80716644853319e-227	6.34369109486843e-225	508.198329595738
Epb41	0.281441937145752	8.27893976276725	32.2561541599783	3.46748194193243e-226	5.72994226685445e-224	505.991414726603
Gas7	-0.444061959138422	9.10635865178224	-32.1719029492229	4.99297384144e-225	8.18315671799941e-223	503.32691145076
Nkain2	-0.734449515142604	11.5395764533973	-32.1509798781821	9.67325904009287e-225	1.57249442688339e-222	502.666245646826
Cacna1b	0.383728074073199	9.31801600128876	32.1366955687737	1.51897993215844e-224	2.44935514060548e-222	502.215442953666
Trerf1	0.404223455976284	9.23934425409505	32.1279941053682	1.99937446660275e-224	3.19819939677775e-222	501.940925553834
Ndst3	-0.360902001251594	8.25032197631036	-32.1179615250488	2.74445674758303e-224	4.35519148158117e-222	501.624497350266
Asap2	-0.361832486558182	8.67844217293664	-31.8615897099274	8.70219615144296e-221	1.37008198463072e-218	493.570973463623
Slit2	0.424640805178786	8.67230533224668	31.7976467879027	6.43674681130291e-220	1.00549025384376e-217	491.572001341191
Grm5	0.455677624933902	10.6595501857564	31.6468060537363	7.11310488839731e-218	1.10253125770158e-215	486.871792481902
