"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","KCNT2","LAMA3","DSCAM","GALNT13","CALB2","IQGAP2","ARPP21","OLFM3","LHFPL6","GRM7","VWC2L","MAPK4","B4GALT6","ADARB2","SEZ6L","SORCS3","AK5","SOBP","CNTN6","LRFN2","NRXN1","CSMD1","PTPRE","MARCHF1","TSHZ2","SLC24A3","PLD5","NR3C2","RYR3","STARD13","L3MBTL4","CRIM1","NFIX","SYNPR","CADM2","NCAM1","CDH10","NEDD4L","FAT3","ZNF804A","PCSK2","TTC28","DOCK10","ZBTB16","NCKAP5","NTRK3","LRP1B","KCNH7","THSD7A","FRMD4A","ASIC2","ERBB4","GALNTL6","NLGN1","KCNIP4","NELL1","RGS6","NFIB","PDE4B","ROBO1","PLXNA4","HS6ST3","NCAM2"
"GO:BP","cell junction organization","GO:0034330","false","0.0026558348846871136","2.575798928889227","759","60","12","21031",,"IEA","ISS",,,,,,,,,,,,"IBA",,,,,"IEA","ISS,TAS,NAS,IEA",,,,,,,,,,,,,,,,"IBA,IEA",,,"IEA",,,"ISS,IBA,IEA",,,,,,,,"IEA","IEA",,"IDA,IGI,ISS,IBA,TAS,NAS,IEA",,,,,,,"IEA",,
"GO:BP","multicellular organism development","GO:0007275","false","0.0037917424472958873","2.4211611696242987","4643","60","30","21031",,"IEP,IEA","IDA,ISS,IBA,TAS,IEA",,,,,"IEA",,"IMP","IEA",,"ISS,IEA",,"IBA",,,"IBA,IEA","IBA,TAS",,"IGI,ISS,TAS,NAS,IEA","IEA",,,,,,,,"IMP,IGI",,"TAS",,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI","IEA",,"ISS,IBA,IEA","IDA,IMP,ISS,IEA",,"IMP,IBA,IEA",,,"IEA",,"TAS,IEA","ISS,IBA,IEA",,"IDA,IMP,IGI,ISS,IBA,TAS,NAS,IEA",,"IDA,TAS",,"IMP,ISS,IEA",,"IDA,IMP,ISS,TAS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.0043819939475009196","2.3583282266312624","655","60","11","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,,,"IBA",,"TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA",,,,,"ISS,IBA,IEA",,,,,,,,,,,"IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","axon development","GO:0061564","false","0.00457218153380287","2.3398765347151347","527","60","10","21031",,,"IDA,ISS,IBA,IEA",,,,,,,"IMP",,,"ISS,IEA",,,,,,"IBA",,"TAS",,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.005529865639386044","2.257285420735468","671","60","11","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,,,"IBA",,"TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA",,,,,"ISS,IBA,IEA",,,,,,,,,,,"IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","cell projection morphogenesis","GO:0048858","false","0.005939055411012571","2.226282622763939","676","60","11","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,,,"IBA",,"TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA",,,,,"ISS,IBA,IEA",,,,,,,,,,,"IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","cell morphogenesis","GO:0000902","false","0.006757763092186948","2.170197037414538","986","60","13","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,,,"IBA",,"TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA","IBA","IDA,IBA","IEA",,,,"ISS,IBA,IEA",,,,,,,,,,,"IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","plasma membrane bounded cell projection organization","GO:0120036","false","0.011497236022211348","1.9394065530879598","1570","60","16","21031",,,"IDA,ISS,IBA,IEA",,,,,,,"IMP",,,"ISS,IEA",,,,,,"IBA",,"IGI,ISS,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI,IEA",,,"ISS,IBA,IEA",,,"IBA",,,,,,,,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","regulation of neuron projection development","GO:0010975","false","0.011513093632649123","1.9388079633325883","457","60","9","21031",,,"IDA,IEA",,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,,,,,,,,,"IBA","IEA","IMP,IGI",,,,,,"IBA",,,,,,,,"IGI,NAS,IEA",,,,,,"IDA","IBA",,
"GO:BP","neuron projection guidance","GO:0097485","false","0.014131665447838773","1.8498066525758108","249","60","7","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,"IBA",,"TAS",,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,"ISS,IEA",,"ISS,IEA","ISS,IBA,IEA",,
"GO:BP","axon guidance","GO:0007411","false","0.014131665447838773","1.8498066525758108","249","60","7","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,"IBA",,"TAS",,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,"ISS,IEA",,"ISS,IEA","ISS,IBA,IEA",,
"GO:BP","cell projection organization","GO:0030030","false","0.016224696966877714","1.7898234058891864","1613","60","16","21031",,,"IDA,ISS,IBA,IEA",,,,,,,"IMP",,,"ISS,IEA",,,,,,"IBA",,"IGI,ISS,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI,IEA",,,"ISS,IBA,IEA",,,"IBA",,,,,,,,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","cell-cell adhesion involved in synapse maturation","GO:0090125","true","0.01667488427573787","1.7779371714193812","2","60","2","21031",,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,
"GO:BP","neuron recognition","GO:0008038","false","0.017020835518074897","1.769019125098478","45","60","4","21031",,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IEA",,,"IEA"
"GO:BP","homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156","false","0.017341969675761397","1.760901577521064","168","60","6","21031",,,"ISS,IBA",,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,"IBA",,"IEA",,"IEA",,,,,,,,,,,,,,,,,,,,,"IDA",,,
