"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","RALYL","SST","STXBP6","GRM1","TRHDE","BCL11A","CRB1","GRIK3","EPB41L2","UST","KIF26B","GRIN3A","GRID2","NETO1","SPOCK3","WLS","SATB1","CDH9","PLCH1","DMD","GPC6","TMTC1","CDH8","CACNA2D3","SORBS2","KIAA1217","MAN1A1","ROBO2","NRXN3","GPM6A","ST6GALNAC5","TSHZ3","GRIA3","DAPK1","RUNX1T1","RASGRF2","SOX6","RYR2","CTNNA2","SHISA6","NETO2","LHFPL3","RGS6","SLC8A1","TIAM1","RBFOX1","XKR4","ROBO1","TMEFF2","PCDH15","PDE4B","ADCY2","SLC24A2","SYNPR","PPP2R2B","GRIK2","TENM3","OXR1","PACRG","TENM2","PDE1C","ASTN2","LRRTM4","NPAS3"
"GO:BP","cell-cell signaling","GO:0007267","false","0.000014734736088078226","4.83165763833579","1704","62","21","21031","IBA,TAS",,"TAS",,"IBA,TAS,IEA","TAS",,"TAS","ISS,IBA",,,,"IBA,IEA","IMP,ISS,IBA,IEA","ISS,IBA,IEA",,"IMP,ISS,IBA,IEA",,,,"IBA,IEA",,,"IBA,IEA",,,,,,"IEA",,,"ISS","IBA",,,"IEA",,"IMP,ISS,IEA",,"ISS,IBA,IEA",,,,,"ISS,NAS,IEA",,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:BP","regulation of postsynaptic membrane potential","GO:0060078","false","0.000023450235149022566","4.629852798006002","148","62","8","21031","IEA",,,,"IEA",,,,"IEA",,,,"IEA","ISS,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,
"GO:BP","regulation of biological quality","GO:0065008","false","0.00006630592786253418","4.178447643195452","2846","62","26","21031","IEA",,"IEA",,"IEA",,"IMP,ISS",,"IDA,ISS,IEA",,,,"IEA","IMP,ISS,IEA","ISS,IBA,IEA",,,,,,"IMP,ISS,IEA","IBA,IEA",,"IEA",,,,,"ISS","IEA","IEA",,"ISS","IEA",,,"IEA",,"IDA,IMP,ISS,IEA","ISS","IBA,IEA","IEA",,,"IMP,ISS,TAS,IC","IEA",,"IBA",,,,,,"IBA,IEA",,,"IMP,IEA",,,,,,,,
"GO:BP","regulation of membrane potential","GO:0042391","false","0.00009442328246949872","4.024920906111802","433","62","11","21031","IEA",,,,"IEA",,,,"IDA,ISS,IEA",,,,"IEA","ISS,IEA","IBA,IEA",,,,,,"ISS,IEA",,,,,,,,,,,,,"IEA",,,,,"IMP,ISS,IEA",,,,,,"TAS",,,,,,,,,,,,"IEA",,,,,,,,
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.0002433121901325795","3.613836132028116","280","62","9","21031",,,,,,,,"IBA",,,,,,"ISS,IEA",,,,,"IBA,IEA",,,,,"IBA,IEA",,,,,"IDA",,,,,,,,,,,,,,,,,,,,"IDA",,"IEA",,,,,,,"ISS,IBA",,,"IBA",,,,
"GO:BP","monoatomic ion transmembrane transport","GO:0034220","true","0.00033471405390878787","3.4753260521868987","1013","62","15","21031","IEA",,,,,,,,"IEA",,,,"IEA","IEA","IDA",,,,,"IBA","ISS,IEA",,,,"IEA",,,,,,"IEA",,,"IEA",,,,,"IDA,IMP,ISS,IBA,IC,IEA",,,,,,"IDA,IMP,IGI,ISS,IBA,TAS,IEA",,,,,,,"ISS,IEA",,"IDA,IBA",,,"IEA",,,,,,,,
"GO:BP","regulation of postsynaptic membrane neurotransmitter receptor levels","GO:0099072","true","0.0006150867601661413","3.2110636211288623","93","62","6","21031",,,"IEA",,,,,,,,,,,,"IEA",,,,,,,"IBA,IEA",,,,,,,,"IEA",,,,,,,,,,,"IEA","IEA",,,,,,,,,,,,,,,,,,,,,,,
"GO:BP","cell-cell adhesion","GO:0098609","false","0.0009380474220505058","3.02777520574219","946","62","14","21031",,,,"IEA",,,,"IBA",,,,"IEA",,"ISS,IEA",,,,,"IBA,NAS,IEA",,,,,"IBA,IEA",,,,,"IDA,IBA","TAS",,,,,,,,,,"ISS,IBA",,,,,,,,,"IDA",,"IEA",,,,,,,"ISS,IBA",,,"ISS,IBA",,"IBA",,
"GO:BP","calcium ion transmembrane transport","GO:0070588","true","0.0013085105212496057","2.8832227810086044","342","62","9","21031",,,,,,,,,,,,,"IEA",,,,,,,"IBA","ISS,IEA",,,,"IEA",,,,,,"IEA",,,,,,,,"IDA,IMP,ISS,IBA,IC,IEA",,,,,,"IGI,ISS,IBA,TAS",,,,,,,"ISS,IEA",,"IDA,IBA",,,,,,,,,,,
"GO:BP","neuron development","GO:0048666","true","0.0020264554403040913","2.6932629415116356","1167","62","15","21031",,,,,,,"IDA,IMP,ISS,IBA,IEA","IEA",,,"IEA",,"ISS,IEA","IEA",,,,,,,"IMP,IBA,IEA",,,,,,,,"IDA,ISS,IEA","TAS","ISS,IBA,IEA",,,,,,,,,"IMP,ISS",,,,,,"IBA,IEA",,,"IDA,ISS,IEA",,"IEA",,,,,,,"ISS,IBA",,,"IBA",,,,
"GO:BP","protein localization to postsynaptic specialization membrane","GO:0099633","false","0.0025563349142913405","2.592382248361769","28","62","4","21031",,,,,,,,,,,,,,,"IEA",,,,,,,"IBA,IEA",,,,,,,,"IEA",,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,
"GO:BP","neurotransmitter receptor localization to postsynaptic specialization membrane","GO:0099645","false","0.0025563349142913405","2.592382248361769","28","62","4","21031",,,,,,,,,,,,,,,"IEA",,,,,,,"IBA,IEA",,,,,,,,"IEA",,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,
"GO:BP","transmembrane transport","GO:0055085","false","0.002594541573820411","2.5859393659649528","1534","62","17","21031","IEA",,,,"IEA",,,,"IEA",,,,"IEA","IEA","IDA",,,,,"IBA","ISS,IEA",,,,"IEA",,,,,,"IEA",,,"IEA","ISS",,,,"IDA,IMP,ISS,IBA,IC,IEA",,,,,,"IDA,IMP,IGI,ISS,IBA,TAS,IEA",,,,,,,"ISS,IEA",,"IDA,IBA,IEA",,,"IEA",,,,,,,,
