"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","COL5A2","GRIK1","GLIS3","CUX2","NTNG1","CNTNAP2","MAGI2","PTPRM","CA10","RIT2","HDAC9","TAFA5","TMEM132C","CACNA2D3","ADCY8","ARL15","MAST4","ATRNL1","FMN1","ARHGAP26","RFX3","AUTS2","GRM7","LIMCH1","PLCB1","TMEM132D","NR3C2","SLC44A5","FRMD5","TAFA1","GRIA3","ST6GALNAC5","SGCD","RHBDL3","SCHIP1","PTPRK","NPAS3","SNTG1","FAT3","OXR1","SLC35F3","KLF12","KCNB2","SLC38A11","LHFPL6","KIRREL3","UNC5D","CADPS2","HS6ST3","GPC6","MYRIP","EPHA6","ROBO1","GRM8","PRKG1","LRRTM4","LSAMP","DCC","RORB","ROBO2"
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","false","0.0011280163557623522","2.9476846032198396","597","57","11","21031",,,,"ISS,IEA","ISS,IEA",,,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,"IEA",,,,,,,,"IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","plasma membrane bounded cell projection organization","GO:0120036","false","0.001139645816917316","2.943230099240928","1570","57","17","21031",,,,"ISS,IEA","ISS,IEA","ISS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA",,,,,,,,,,,"ISS,IEA","ISS","IMP",,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","neuron migration","GO:0001764","false","0.0013506633028108085","2.8694528996497732","182","57","7","21031",,,,,"ISS,IEA",,,,,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IEA",,,,,,,,"IEA",,,"IBA,IEA",,
"GO:BP","cell projection organization","GO:0030030","false","0.0016654076322813057","2.778479449375055","1613","57","17","21031",,,,"ISS,IEA","ISS,IEA","ISS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA",,,,,,,,,,,"ISS,IEA","ISS","IMP",,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","negative regulation of cell migration","GO:0030336","false","0.002177891563910864","2.6619637473385103","285","57","8","21031",,,,,,,"ISS","IMP",,,,"IEA",,,,,,,,,,,,"IMP","ISS,IEA",,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,,"IMP",,"IDA,IEA",,,,,
"GO:BP","cellular anatomical entity morphogenesis","GO:0032989","false","0.0023050299272725137","2.6373234315910636","785","57","12","21031",,,,"ISS,IEA","ISS,IEA","ISS",,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","axon development","GO:0061564","false","0.00305573679797476","2.514884055891472","527","57","10","21031",,,,,"ISS,IEA",,,"IDA",,,,,,,,,,,,,,"ISS","IMP",,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","multicellular organism development","GO:0007275","false","0.00387814928778909","2.411375476945012","4643","57","29","21031","IDA,IMP,IEA","TAS",,"ISS,IEA","ISS,IEA","IEP,ISS,TAS,NAS","ISS,IEA","IDA,IMP","NAS","IGI,ISS,IBA,IEA","IMP,ISS,IEA","IEA",,,,,,,"IEA","NAS","ISS,IEA","ISS","IMP",,"ISS,IEA",,,,,"ISS,IBA,IEA",,,"IBA,IEA",,,,,,"IEA",,,,,,,"ISS,IBA,IEA","IBA,IEA",,,,,"IBA","IDA,IMP,ISS,TAS,IEA",,"IEA",,"TAS","IBA,TAS,IEA","ISS,IEA","IDA,IMP,IEP,ISS,NAS,IEA"
"GO:BP","cell morphogenesis","GO:0000902","false","0.003980203963890043","2.4000946721166936","986","57","13","21031",,,,"ISS,IEA","ISS,IEA","ISS",,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","regulation of locomotion","GO:0040012","false","0.007020771348010801","2.1536151708072566","1038","57","13","21031",,,,,"ISS,IEA",,"ISS","IMP",,,"IMP","IEA",,,,,,,,,,,,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA",,,,,,,,,,,"IEA",,,,,,"IDA,IMP",,"IDA,IEA",,,,,"IDA"
